Subject,Experiment,targetobject,targetaction,block,accuracy,Subjecta
1,nounverb,p5.bmp,Swing,6,0,101
1,nounverb,p2.bmp,Swing,6,0,101
1,nounverb,p4.bmp,Contract,6,0,101
1,nounverb,p3.bmp,Rotate,6,0,101
1,nounverb,p4.bmp,Expand,6,1,101
1,nounverb,p1.bmp,Swing,6,0,101
1,nounverb,p2.bmp,Rise,6,0,101
1,nounverb,p8.bmp,Rise,6,1,101
1,nounverb,p7.bmp,Contract,7,0,101
1,nounverb,p1.bmp,Rotate,7,0,101
1,nounverb,p6.bmp,Rise,7,0,101
1,nounverb,p2.bmp,Rise,7,1,101
1,nounverb,p4.bmp,Rotate,7,0,101
1,nounverb,p3.bmp,Bounce,7,1,101
1,nounverb,p4.bmp,Swing,7,1,101
1,nounverb,p8.bmp,Swing,7,0,101
1,nounverb,p2.bmp,Expand,7,1,101
1,nounverb,p6.bmp,Rotate,7,1,101
1,nounverb,p1.bmp,Contract,7,1,101
1,nounverb,p6.bmp,Swing,7,0,101
1,nounverb,p3.bmp,Contract,7,1,101
1,nounverb,p4.bmp,Shake,7,0,101
1,nounverb,p3.bmp,Hide,7,1,101
1,nounverb,p5.bmp,Hide,7,1,101
1,nounverb,p7.bmp,Expand,7,0,101
1,nounverb,p8.bmp,Shake,7,1,101
1,nounverb,p5.bmp,Expand,7,1,101
1,nounverb,p5.bmp,Bounce,7,1,101
1,nounverb,p2.bmp,Shake,7,1,101
1,nounverb,p7.bmp,Hide,7,1,101
1,nounverb,p8.bmp,Bounce,7,1,101
1,nounverb,p1.bmp,Rise,7,1,101
1,nounverb,p6.bmp,Expand,8,0,101
1,nounverb,p2.bmp,Hide,8,1,101
1,nounverb,p7.bmp,Contract,8,1,101
1,nounverb,p3.bmp,Swing,8,1,101
1,nounverb,p2.bmp,Contract,8,0,101
1,nounverb,p5.bmp,Swing,8,0,101
1,nounverb,p8.bmp,Expand,8,1,101
1,nounverb,p2.bmp,Expand,8,1,101
1,nounverb,p8.bmp,Shake,8,1,101
1,nounverb,p1.bmp,Swing,8,1,101
1,nounverb,p4.bmp,Rise,8,1,101
1,nounverb,p4.bmp,Shake,8,0,101
1,nounverb,p1.bmp,Bounce,8,1,101
1,nounverb,p5.bmp,Hide,8,1,101
1,nounverb,p3.bmp,Rise,8,1,101
1,nounverb,p4.bmp,Rotate,8,1,101
1,nounverb,p6.bmp,Rise,8,1,101
1,nounverb,p7.bmp,Bounce,8,1,101
1,nounverb,p8.bmp,Rotate,8,0,101
1,nounverb,p5.bmp,Rotate,8,1,101
1,nounverb,p6.bmp,Shake,8,1,101
1,nounverb,p7.bmp,Hide,8,0,101
1,nounverb,p3.bmp,Bounce,8,1,101
1,nounverb,p1.bmp,Contract,8,0,101
1,nounverb,p7.bmp,Contract,9,0,101
1,nounverb,p7.bmp,Expand,9,1,101
1,nounverb,p3.bmp,Bounce,9,1,101
1,nounverb,p6.bmp,Rotate,9,1,101
1,nounverb,p5.bmp,Swing,9,0,101
